Quantity,Reference Designator,Model
1,R1A,"97.6k ohm, 0603, 1%"
9,"R4A, R4B, R4C, R4D, R4E, 2 x R5M, JP2, R2A","0 ohm, 0603"
2,"R1B, R2B","383k ohm, 0603, 1%"
2,"R1C, R2C","46.4k ohm, 0603, 1%"
2,"R1D, R2D","5.36k ohm, 0603, 1%"
2,"R1E, R2E","20.5k ohm, 0603, 1%"
1,C6A,"33nF, 1206, C0G, 5%"
5,"C9A, C9B, C9C, C9D, C9E","100nF, 0603, X7R, 20%"
1,C1B,"9.1nF, 0603, C0G, 5%"
1,C2B,"620pF, 0603, C0G, 5%"
1,C5C,"91nF, 1206, C0G, 5%"
1,C2C,"1.2nF, 0603, C0G, 5%"
1,C5D,"1.2uF, 1206, X7R, 5%"
1,C2D,"3.9nF, 0603, C0G, 5%"
1,C5E,"910nF, 1206, X7R, 5%"
1,C2E,"270pF, 0603, C0G, 5%"
1,C101M,"10uF, 6032, tantalum, 20%"
5,"U1A, U1B, U1C, U1D, U1E","AD8617, SOIC"
8,"2 x J1M, 2 x J2M, 2 x J3M, 2 x J4M","67996-206HLF, 2x3 0.1"" header"
3,"J2M, J3M, J4M","65474-010LF, 0.1"" jumper"
5,"J1A, J1B, J1C, J1D, J1E","BCS-103-L-D-TE, 2x3 0.1"" socket"
4,"2 x J5M, 2 x J6M","142-0701-851, SMA Jack, board edge female"
6,"2 x +VS, 2 x -VS, 2 x GND","68000-101HLF, Test pin"
2,2 x C3M,"100nF, 0603, X7R, 20%"
1,IN to OUT,"501-1253-ND, male-male SMA"
1,REF to REF,wire
