Frequency,Nominal,Min,Max
50,137221.7813156217,134745.2484758663,140162.0565790073
51.16464961403771,135687.38228117127,133328.39900174644,138496.97274472614
52.35642740254497,134205.6670855832,131961.11809992619,136887.92435233959
53.57596526188031,132775.20521091204,130642.0174648736,135333.4376120291
54.82390980715924,131394.5880137942,129369.73112337358,133832.0603518109
56.10092271509816,130062.42879868548,128142.9155670555,132382.36200252036
57.40768107484412,128777.36291701836,126960.24990045467,130982.93361881995
58.74487774697646,127538.0478881695,125820.43600044637,129632.38793245023
60.11322173087062,126343.16353809209,124722.19868295774,128329.35943380375
61.51343854061905,125191.412151473,123664.28587296998,127072.50447779949
62.94627058970833,124081.51863331918,122645.46877396347,125860.5014099729
64.41247758465666,123012.2306759622,121664.54203313531,124692.050708675
65.91283692782031,121982.31892759119,120720.32389892283,123565.87513929215
67.44814412958263,120990.57715857933,119811.65636759855,122480.71991645599
69.01921323014419,120035.82242205697,118937.40531595662,121435.3528703087
70.62687723113766,119116.89520539949,118096.46061738238,120428.56461302064
72.27198853729631,118232.65956953792,117287.73623888368,119459.16870192211
73.95541940841031,117382.00327326059,116510.17031695927,118526.00179580621
75.67806242181034,116563.8378799505,115762.7252104807,117627.92380118168
77.440830945624,115777.09884449172,115044.38752906857,116763.81800549895
79.2446596230556,115020.74557837463,114354.16813574532,115932.59119463646
81.09050486794642,114293.76149132998,113691.10212294222,115133.17375221223
82.97934537187795,113595.15400812197,113054.2487612254,114364.51973857473
84.91218262308713,112923.95455942673,112442.6914203806,113625.60694762199
86.89004143746868,112279.21854601197,111855.53746275681,112915.43693989566
88.91397050194604,111660.02527571293,111291.91810901427,112233.03505069324
90.98504293049906,111065.47787296516,110750.98827664732,111577.45037223244
93.10435683314326,110494.7031609067,110231.92639186104,110947.75570918566
95.27303589816223,109946.85151629591,109733.93417556642,110343.0475071744
97.49222998790214,109421.09669770673,109256.23640442573,109762.4457540723
99.76311574844384,108916.63564766008,108798.0806480243,109205.09385420867
