Frequency,Nominal,Min,Max
50,-57.617339743742974,-60.151901329641944,-55.04088913360804
51.16464961403771,-58.60103048024004,-61.161594394143854,-55.99826772672999
52.35642740254497,-59.594738953780364,-62.181756675208604,-56.96542096488608
53.57596526188031,-60.598611432310356,-63.212635072828874,-57.94241568123917
54.82390980715924,-61.6128304110863,-64.25452342423657,-58.92934570317055
56.10092271509816,-62.63761855724255,-65.30776730855231,-59.9263351117514
57.40768107484412,-63.673242962047304,-66.3727692622097,-60.93354173790172
58.74487774697646,-64.72001973629095,-67.449994457982,-61.951160918315814
60.11322173087062,-65.77831899029472,-68.5399769091504,-62.97942953830043
61.51343854061905,-66.84857024700813,-69.6433262704336,-64.01863039340265
62.94627058970833,-67.93126834471373,-70.76073531890006,-65.06909690717686
64.41247758465666,-69.02697989515956,-71.89298821148219,-66.13121824878341
65.91283692782031,-70.13635037365728,-73.04096963115991,-67.20544490142584
67.44814412958263,-71.26011193004992,-74.2056749516996,-68.29229474108223
69.01921323014419,-72.3990920237156,-75.3882215713719,-69.3923596947335
70.62687723113766,-73.55422300222844,-76.5898615897439,-70.50631305852605
72.27198853729631,-74.72655276226496,-77.81199602884904,-71.63491756927358
73.95541940841031,-75.9172566532093,-79.05619083127489,-72.77903433765313
75.67806242181034,-77.12765080908414,-80.32419490341067,-73.93963276869626
77.440830945624,-78.35920712335569,-81.61796051270366,-75.11780161505929
79.2446596230556,-79.61357011429932,-82.93966639359367,-76.31476133146562
81.09050486794642,-80.89257596641811,-84.29174396795689,-77.53187792506954
82.97934537187795,-82.19827407627182,-85.67690714208803,-78.770678526757
84.91218262308713,-83.53295147921364,-87.09818620260245,-80.03286894302182
86.89004143746868,-84.89916058696929,-88.55896639612094,-81.32035348749136
88.91397050194604,-86.29975072412164,-90.06303183857005,-82.63525743575377
90.98504293049906,-87.73790401313242,-91.61461545309362,-83.97995249704132
93.10435683314326,-89.21717621983473,-93.2184556705987,-85.35708575137397
95.27303589816223,-90.74154322972007,-94.87986062741402,-86.76961256020607
97.49222998790214,-92.31545387191461,-96.60478053480635,-88.22083402075594
99.76311574844384,-93.9438898297888,-98.39988873591838,-89.71443959579463
102.08689723347632,-95.632433354605,-100.27267164781956,-91.25455560612988
104.46480654270182,-97.38734340044016,-102.23152722177839,-92.84580031308374
106.89810447511145,-99.21564057770094,-104.28587061460304,-94.49334632805868
109.38808119747746,-101.12520090808766,-106.4462442629553,-96.20299104262928
111.9360569284168,-103.12485765148043,-108.72442723145629,-97.98123563972837
114.54338263838847,-105.2245093132577,-111.13353521273278,-99.83537297040837
117.21144076599592,-107.43523011346439,-113.68809744044836,-101.7735840806953
119.94164595097432,-109.7693764090186,-116.40408949785784,-103.80504233083346
122.73544578425131,-112.24067841086391,-119.29889102250904,-105.94002269389166
125.59432157547879,-114.86430053537919,-122.39112427996164,-108.19001171152358
128.51978913844297,-117.65684531967862,-125.70031379308709,-110.56781039253742
131.51339959476888,-120.63626452527588,-129.24629037336715,-113.08761763534079
134.57674019634555,-123.82162672071264,-133.04824938161963,-115.76507501731537
137.71143516690807,-127.23267406410964,-137.1233715265228,-118.61724447125057
140.91914656322243,-130.8890849056303,-141.48493934377456,-121.66247804819483
144.20157515633002,-134.80934926533354,-146.13995306836114,-124.92012374143663
147.560461333319,-139.00917229067593,-151.08638443814925,-128.40999451325874
150.99758602010053,-143.4993633225826,-156.31040894749432,-132.15151286410008
154.51477162567923,-148.28326535291436,-161.78419021473607,-136.16243806868124
158.11388300841867,-153.35394543465924,-167.4649600806191,-140.45710057629395
161.7968284648138,-158.69158979265342,-173.2961047022729,-145.04412651029784
165.56556074129523,-164.26176749159947,-179.21061670340364,-149.92375429354362
169.42207806960096,-170.0153243696674,-185.1366339877618,-155.08503334710676
173.3684252262655,-175.89050372351397,-191.00408986817607,-160.50342650978263
177.40669461678738,-181.81739698780558,-196.75109170277764,-166.13953282105547
181.5390273850503,-187.72412438496002,-202.32875511103458,-171.93967211798656
185.7676145485859,-193.54353647290455,-207.70378552263105,-177.8387988792647
190.09469816028022,-199.2190363176743,-212.8588137071703,-183.76562640853982
194.5225724971399,-204.70845870324206,-217.79103463773976,-189.64913140085062
199.0535852767482,-209.98561756547042,-222.50991855148266,-195.42510928386685
203.69013890205593,-215.0398030786145,-227.0347021189096,-201.04143781275403
208.43469173516726,-219.8739149343486,-231.3921636227015,-206.46118824621348
213.28975940079587,-224.50200010330906,-235.61496648074896,-211.66343448954558
218.2579161200825,-228.94682115523565,-239.740691244967,-216.64221210767016
223.34179607548106,-233.2378578293831,-243.81158611330383,-221.40437340175458
228.544094807437,-237.40994439888198,-247.8750401093381,-225.9670768084197
233.86757064359855,-241.5026138796959,-251.9848030038519,-230.3554649114629
239.3150461613186,-245.56016036862087,-256.2030245129322,-234.60086122042205
244.8894096842225,-249.63242722451656,-260.6032459231869,-238.7396360970748
250.59361681363552,-253.77636299601738,-265.2745244370124,-242.81278547644965
256.4306919956818,-258.0584427149226,-270.3268431511561,-246.8662268606379
262.40373012488567,-262.5581111172704,-275.897700721926,-250.95182778348598
268.5158981851257,-267.37243054818794,-282.15890162924313,-255.12922478153942
274.7704369288116,-272.6220186565964,-289.3202444502494,-259.46854993891037
281.17066259517384,-278.45790885424617,-297.62158890197446,-264.0542358161064
287.71996866857774,-285.0676192487243,-307.2957083200564,-268.9900701216014
294.4218276777937,-292.67537895424965,-318.4770015795428,-274.40549574619286
301.2797930371781,-301.52460508456375,-331.0515762596373,-280.46249416596686
308.2975009307403,-311.8209341356855,-344.5307773544891,-287.3605604297681
315.4786722400958,-323.6137471993611,-358.12319036468983,-295.3329840555135
322.82711451732695,-336.63935740349467,-371.05527484798466,-304.6195381187196
330.3467240037972,-350.2569081816454,-382.8898690152665,-315.3915799234119
338.04148769599004,-363.63659648189827,-393.59883484470186,-327.614811391674
345.9154854594674,-376.11997692499307,-403.45017982319166,-340.9026305306967
353.97289219206806,-387.4472398856051,-412.8899855734537,-354.5209640164874
362.2179800374941,-397.73004952805707,-422.5100042517118,-367.6561341529686
370.6551206504578,-407.3177357639167,-433.11658097740076,-379.7646909545075
379.28878751459087,-416.7094250908099,-445.8991942451928,-390.7158265765453
388.1235583143448,-426.56171210980614,-462.602210813756,-400.70882744550005
397.1641173621396,-437.79671387956864,-484.98807418882774,-410.1422948360046
406.41525808204847,-451.79669519044353,-511.9598136938663,-419.5539559829676
415.88188555133434,-470.46013725284763,-537.9541557813831,-429.65808527057885
425.56901910118705,-494.96732946739286,-559.8312918159144,-441.4819258719128
435.4817949780391,-522.3690664625178,-581.1313686069606,-456.5639087920521
445.6254690668715,-547.0884326707436,-616.9443330728568,-476.818896253782
456.00541967795357,-568.6746025756621,-692.4620823840563,-502.5940475127017
466.62715039849417,-594.8383803023519,-729.8018035751619,-529.5447669995067
477.49629301071656,-655.1014275855525,-744.0492492163697,-552.8328146687493
488.61861047790387,-716.8305136597235,-752.0390372160066,-573.754529403871
499.99999999999847,-737.9961500719056,-757.4962494058323,-602.1647976312802
511.64649614037546,-748.2065943318863,-761.6249460231145,-669.8093467907598
523.5642740254481,-754.6913190608279,-764.9416161898004,-722.3146503944128
535.7596526188015,-759.4065827821977,-767.7114197799311,-740.4794658688095
548.2390980715908,-763.1026625509588,-770.087894847316,-749.7647308120231
561.0092271509799,-766.1383185396239,-772.1678192718892,-755.8260421975759
574.0768107484395,-768.7115523391799,-774.016124837522,-760.2985013472193
587.4487774697628,-770.9429661366855,-775.6785016863882,-763.8358416678504
601.1322173087044,-772.9114316007791,-777.1883263324302,-766.7588013338136
615.1343854061887,-774.6713557069245,-778.5707267044072,-769.2474332843627
629.4627058970815,-776.2618544956937,-779.8450961760701,-771.412728001345
644.1247758465648,-777.7119935969633,-781.0280317889468,-773.3279191585863
659.1283692782014,-779.0439597571483,-782.1371518608543,-775.0438738100621
674.4814412958245,-780.275072438079,-783.1742063659875,-776.5973658367474
690.1921323014401,-781.4191102303712,-784.147806499979,-778.0158455746604
706.2687723113747,-782.4872144826269,-785.0651060691706,-779.3203476562142
722.7198853729612,-783.4885222627906,-785.9321156113035,-780.5273465720425
739.5541940841011,-784.4306204837635,-786.7539361970294,-781.6499864567128
756.7806242181015,-785.319878599549,-787.534936425918,-782.6989225644742
774.4083094562379,-786.1616968616084,-788.2788884587889,-783.6829129445762
792.446596230554,-786.9606946110997,-788.9890739943073,-784.6092443743113
810.9050486794621,-787.7208551867268,-789.668367848229,-785.4840453363806
829.7934537187773,-788.4456389163227,-790.3193046071867,-786.3125201901498
849.121826230869,-789.1380722743654,-790.944132329172,-787.0991272136837
868.9004143746845,-789.8008189983216,-791.544856215964,-787.8477159270151
889.139705019458,-790.4362373798238,-792.123274440389,-788.5616343867518
909.8504293049882,-791.0464268420454,-792.6810077770699,-789.243814005823
931.0435683314302,-791.6332661289199,-793.2195242958637,-789.8968373255864
952.7303589816199,-792.1984448650269,-793.7401600896281,-790.5229926989679
974.9222998790189,-792.7434898307694,-794.2441367933835,-791.1243188120943
997.6311574844359,-793.2697869912066,-794.7325764900224,-791.7026412368031
1020.8689723347607,-793.7786000878791,-795.2065144744289,-792.2596026750034
1044.6480654270156,-794.2710864300542,-795.6669102531224,-792.796688166843
1068.9810447511118,-794.7483103899242,-796.1146570831334,-793.315246246408
1093.8808119747719,-795.2112550048795,-796.5505902964957,-793.8165068128792
1119.3605692841652,-795.6608320113263,-796.9754946116758,-794.3015963217596
1145.4338263838818,-796.0978905730562,-797.3901105975896,-794.771550776142
1172.1144076599562,-796.5232249188109,-797.7951404274667,-795.2273269019356
1199.4164595097402,-796.937581065393,-798.1912530371166,-795.6698118163927
1227.35445784251,-797.3416627721466,-798.5790887838688,-796.099831440932
1255.943215754785,-797.7361368481734,-798.9592636877567,-796.518157863289
1285.1978913844266,-798.1216379139687,-799.3323733245701,-796.9255158175392
1315.1339959476854,-798.4987727032545,-799.6989964307619,-797.322588421478
1345.7674019634521,-798.8681239778373,-800.0596982723756,-797.7100222874797
1377.1143516690772,-799.2302541178494,-800.4150338238065,-798.0884321041593
1409.1914656322208,-799.5857084411297,-800.7655507971427,-798.4584047709213
1442.0157515632966,-799.9350182985285,-801.1117925587462,-798.8205031550946
1475.6046133331863,-800.2787039862235,-801.4543009665323,-799.175269531253
1509.9758602010013,-800.6172775115102,-801.7936191589564,-799.5232287540903
1545.1477162567883,-800.9512452447943,-802.1302943248807,-799.8648912094459
1581.1388300841825,-801.2811104875392,-802.4648804822436,-800.2007555825878
1617.968284648134,-801.6073759835792,-802.7979412927298,-800.5313114783406
1655.6556074129478,-801.9305463994295,-803.1300529393449,-800.857041924004
1694.2207806960048,-802.2511307979157,-803.4618070939961,-801.1784257830581
1733.68425226265,-802.5696451286003,-803.7938140027878,-801.4959401053125
