"Bill of Material for "
"On 1/7/2020 at 10:11:19 AM"

"Comment","Pattern","Quantity","Components"

"1.2k","RES400","2","R2, R4",""
"18k","RES400","2","R3, R5",""
"1n4007","DO41","3","D1, D2, D3",""
"220","RES400","3","R8, R9, R10",""
"220n","CAP200","2","C1, C3",""
"22n","CAP200","2","C2, C4",""
"680","RES400","1","R1",""
"AD_H","Header 8x1 8.5mm","1","AD_H",""
"AD_L","Header 8x1 8.5mm","1","AD_L",""
"Communication","Header 8x1 8.5mm","1","COMMS",""
"corriente","MOLEX2","1","J1",""
"IO_36","HEADER 36X 8MM","1","DIGITAL",""
"LED","LED5","3","D4, D5, D6",""
"POWER","Header 6x1 8.5mm","1","POWER",""
"PWM_H","Header 8x1 8.5mm","1","PWM_H",""
"PWM_L","Header 8x1 8.5mm","1","PWM_L",""
"RES","RES400","2","R6, R7",""
"tension","MOLEX2","1","J2",""
"TL084CN","*DIP254P762X510-14","1","U1","J-FET Amplifier 4 Circuit 14-DIP"
